city;city_ibge_code;date;epidemiological_week;estimated_population_2019;is_last;is_repeated;last_available_confirmed;last_available_confirmed_per_100k_inhabitants;last_available_date;last_available_death_rate;last_available_deaths;order_for_place;place_type;state;new_confirmed;new_deaths
São Paulo;3550308.0;2020-02-25;9;12252023.0;False;False;1;0.008159999999999999;2020-02-25;0.0;0;1;city;SP;1;0
São Paulo;3550308.0;2020-02-26;9;12252023.0;False;False;1;0.008159999999999999;2020-02-26;0.0;0;2;city;SP;0;0
São Paulo;3550308.0;2020-02-27;9;12252023.0;False;False;1;0.008159999999999999;2020-02-27;0.0;0;3;city;SP;0;0
São Paulo;3550308.0;2020-02-28;9;12252023.0;False;False;2;0.016319999999999998;2020-02-28;0.0;0;4;city;SP;1;0
São Paulo;3550308.0;2020-02-29;9;12252023.0;False;False;2;0.016319999999999998;2020-02-29;0.0;0;5;city;SP;0;0
São Paulo;3550308.0;2020-03-01;10;12252023.0;False;False;2;0.016319999999999998;2020-03-01;0.0;0;6;city;SP;0;0
São Paulo;3550308.0;2020-03-02;10;12252023.0;False;False;2;0.016319999999999998;2020-03-02;0.0;0;7;city;SP;0;0
São Paulo;3550308.0;2020-03-03;10;12252023.0;False;False;2;0.016319999999999998;2020-03-03;0.0;0;8;city;SP;0;0
São Paulo;3550308.0;2020-03-04;10;12252023.0;False;False;3;0.02449;2020-03-04;0.0;0;9;city;SP;1;0
São Paulo;3550308.0;2020-03-05;10;12252023.0;False;False;6;0.04897;2020-03-05;0.0;0;10;city;SP;3;0
São Paulo;3550308.0;2020-03-06;10;12252023.0;False;True;6;0.04897;2020-03-05;0.0;0;11;city;SP;0;0
São Paulo;3550308.0;2020-03-07;10;12252023.0;False;False;12;0.09794;2020-03-07;0.0;0;12;city;SP;6;0
São Paulo;3550308.0;2020-03-08;11;12252023.0;False;False;15;0.12243;2020-03-08;0.0;0;13;city;SP;3;0
São Paulo;3550308.0;2020-03-09;11;12252023.0;False;False;15;0.12243;2020-03-09;0.0;0;14;city;SP;0;0
São Paulo;3550308.0;2020-03-10;11;12252023.0;False;False;18;0.14690999999999999;2020-03-10;0.0;0;15;city;SP;3;0
São Paulo;3550308.0;2020-03-11;11;12252023.0;False;False;29;0.2367;2020-03-11;0.0;0;16;city;SP;11;0
São Paulo;3550308.0;2020-03-12;11;12252023.0;False;False;44;0.35912;2020-03-12;0.0;0;17;city;SP;15;0
São Paulo;3550308.0;2020-03-13;11;12252023.0;False;True;44;0.35912;2020-03-12;0.0;0;18;city;SP;0;0
São Paulo;3550308.0;2020-03-14;11;12252023.0;False;False;62;0.5060399999999999;2020-03-14;0.0;0;19;city;SP;18;0
São Paulo;3550308.0;2020-03-15;12;12252023.0;False;True;62;0.5060399999999999;2020-03-14;0.0;0;20;city;SP;0;0
São Paulo;3550308.0;2020-03-16;12;12252023.0;False;False;145;1.1834799999999999;2020-03-16;0.0;0;21;city;SP;83;0
São Paulo;3550308.0;2020-03-17;12;12252023.0;False;False;156;1.27326;2020-03-17;0.0064;1;22;city;SP;11;1
São Paulo;3550308.0;2020-03-18;12;12252023.0;False;False;214;1.74665;2020-03-18;0.013999999999999999;3;23;city;SP;58;2
São Paulo;3550308.0;2020-03-19;12;12252023.0;False;False;259;2.11394;2020-03-19;0.0193;5;24;city;SP;45;2
São Paulo;3550308.0;2020-03-20;12;12252023.0;False;False;306;2.49755;2020-03-20;0.0294;9;25;city;SP;47;4
São Paulo;3550308.0;2020-03-21;12;12252023.0;False;True;306;2.49755;2020-03-20;0.0294;9;26;city;SP;0;0
São Paulo;3550308.0;2020-03-22;13;12252023.0;False;True;306;2.49755;2020-03-20;0.0294;9;27;city;SP;0;0
São Paulo;3550308.0;2020-03-23;13;12252023.0;False;True;306;2.49755;2020-03-20;0.0294;9;28;city;SP;0;0
São Paulo;3550308.0;2020-03-24;13;12252023.0;False;True;306;2.49755;2020-03-20;0.0294;9;29;city;SP;0;0
São Paulo;3550308.0;2020-03-25;13;12252023.0;False;False;722;5.8929;2020-03-25;0.0609;44;30;city;SP;416;35
São Paulo;3550308.0;2020-03-26;13;12252023.0;False;False;899;7.337560000000001;2020-03-26;0.059000000000000004;53;31;city;SP;177;9
São Paulo;3550308.0;2020-03-27;13;12252023.0;False;False;1044;8.52104;2020-03-27;0.0594;62;32;city;SP;145;9
São Paulo;3550308.0;2020-03-28;13;12252023.0;False;True;1044;8.52104;2020-03-27;0.0594;62;33;city;SP;0;0
São Paulo;3550308.0;2020-03-29;14;12252023.0;False;True;1044;8.52104;2020-03-27;0.0594;62;34;city;SP;0;0
São Paulo;3550308.0;2020-03-30;14;12252023.0;False;False;1233;10.06364;2020-03-30;0.0835;103;35;city;SP;189;41
São Paulo;3550308.0;2020-03-31;14;12252023.0;False;False;1885;15.38521;2020-03-31;0.0642;121;36;city;SP;652;18
São Paulo;3550308.0;2020-04-01;14;12252023.0;False;False;2418;19.73552;2020-04-01;0.0596;144;37;city;SP;533;23
São Paulo;3550308.0;2020-04-02;14;12252023.0;False;False;2815;22.9758;2020-04-02;0.0583;164;38;city;SP;397;20
São Paulo;3550308.0;2020-04-03;14;12252023.0;False;False;3202;26.13446;2020-04-03;0.0581;186;39;city;SP;387;22
São Paulo;3550308.0;2020-04-04;14;12252023.0;False;False;3496;28.534059999999997;2020-04-04;0.0606;212;40;city;SP;294;26
São Paulo;3550308.0;2020-04-05;15;12252023.0;False;False;3612;29.48085;2020-04-05;0.0609;220;41;city;SP;116;8
São Paulo;3550308.0;2020-04-06;15;12252023.0;False;False;3754;30.639840000000003;2020-04-06;0.065;244;42;city;SP;142;24
São Paulo de Olivença;1303908.0;2020-04-07;15;39299.0;False;False;2;5.08919;2020-04-07;0.0;0;1;city;AM;2;0
São Paulo;3550308.0;2020-04-07;15;12252023.0;False;False;4258;34.753440000000005;2020-04-07;0.0695;296;43;city;SP;504;52
São Paulo de Olivença;1303908.0;2020-04-08;15;39299.0;False;False;3;7.633780000000001;2020-04-08;0.0;0;2;city;AM;1;0
São Paulo;3550308.0;2020-04-08;15;12252023.0;False;False;4947;40.37701;2020-04-08;0.0685;339;44;city;SP;689;43
São Paulo de Olivença;1303908.0;2020-04-09;15;39299.0;False;False;4;10.17838;2020-04-09;0.0;0;3;city;AM;1;0
São Paulo;3550308.0;2020-04-09;15;12252023.0;False;False;5477;44.70282;2020-04-09;0.0701;384;45;city;SP;530;45
São Paulo de Olivença;1303908.0;2020-04-10;15;39299.0;False;False;5;12.72297;2020-04-10;0.0;0;4;city;AM;1;0
São Paulo;3550308.0;2020-04-10;15;12252023.0;False;False;5982;48.82459;2020-04-10;0.0684;409;46;city;SP;505;25
São Paulo de Olivença;1303908.0;2020-04-11;15;39299.0;False;False;5;12.72297;2020-04-11;0.0;0;5;city;AM;0;0
São Paulo;3550308.0;2020-04-11;15;12252023.0;False;False;6131;50.04072;2020-04-11;0.0688;422;47;city;SP;149;13
São Paulo de Olivença;1303908.0;2020-04-12;16;39299.0;False;False;5;12.72297;2020-04-12;0.2;1;6;city;AM;0;1
São Paulo;3550308.0;2020-04-12;16;12252023.0;False;False;6352;51.8445;2020-04-12;0.0701;445;48;city;SP;221;23
São Paulo de Olivença;1303908.0;2020-04-13;16;39299.0;False;False;7;17.812160000000002;2020-04-13;0.1429;1;7;city;AM;2;0
São Paulo;3550308.0;2020-04-13;16;12252023.0;False;False;6418;52.38319;2020-04-13;0.0711;456;49;city;SP;66;11
São Paulo de Olivença;1303908.0;2020-04-14;16;39299.0;False;False;9;22.90135;2020-04-14;0.0;0;8;city;AM;2;-1
São Paulo;3550308.0;2020-04-14;16;12252023.0;False;False;6705;54.72566;2020-04-14;0.0764;512;50;city;SP;287;56
São Paulo de Olivença;1303908.0;2020-04-15;16;39299.0;False;False;9;22.90135;2020-04-15;0.0;0;9;city;AM;0;0
São Paulo;3550308.0;2020-04-15;16;12252023.0;False;False;7764;63.369130000000006;2020-04-15;0.0719;558;51;city;SP;1059;46
São Paulo de Olivença;1303908.0;2020-04-16;16;39299.0;False;False;10;25.44594;2020-04-16;0.0;0;10;city;AM;1;0
São Paulo;3550308.0;2020-04-16;16;12252023.0;False;False;7908;64.54444000000001;2020-04-16;0.0763;603;52;city;SP;144;45
